title,views_on_vd,time_in_minutes
College grad challenges Justice Thomas' argument on affirmative action,2900.0,19
"AI needs 'a new era of law and regulation,' says Microsoft president",10000.0,540
Hear why Pence wanted to meet with Zelensky and Ukrainian soldiers,86000.0,960
Watch as verdict is read in former Parkland school resource officer trial,26000.0,1260
Legal analyst identifies part of ruling that left her scratching her head,86000.0,1440
Presumed human remains found in Titan wreckage,277000.0,1440
Putin greets supporters in rare appearance after Wagner rebellion,188000.0,1440
Ex-CIA operative breaks down what Putin should do next,177000.0,1440
Hear what ex-CIA director thinks Putin must do after rebellion,298000.0,2880
Ukrainian FM predicts challenges to Putin’s power,118000.0,2880
GOP presidential candidate fumbles question on radio show,23000.0,2880
The US has an empty office building problem. Here's what landlords are doing about it,156000.0,4320
Russia drops all charges against mercenary Wagner Group after insurrection,135000.0,4320
Conway explains how new Trump audio is a ‘nail in the coffin’,323000.0,4320
NATO allies ‘frustrated’ US didn’t share Prigozhin intel,153000.0,4320
Biden: We gave Putin no excuse to blame this on the West or NATO,61000.0,5760
Bolton: Don't underestimate Putin turning insurrection to his advantage,193000.0,5760
Macron addresses 'double standards' on climate change,45000.0,5760
Wagner insurrection: What happened in Russia?,256000.0,7200
CNN military analyst calls out 'losers' in Russia-Wagner conflict,678000.0,7200
Kremlin's secret weapon may be its biggest threat,427000.0,8640
White House closely monitoring developing situation in Moscow,737000.0,8640
Survivors describe chaos and desperation aboard ill-fated migrant boat near Greece,37000.0,8640
Video shows key Russian supply bridge knocked out by missile,135000.0,10080
James Cameron on the 'surreal irony' of Titanic wreck and Titan implosion,423000.0,10080
‘Elemental’ flopped. Can Pixar get its mojo back?,17000.0,10080
Adorable baby seal shows off its surfing skills,365000.0,11520
Bombshell book reveals Putin's unsuccessful assassination plot on US soil,19000.0,11520
Taiwan's military is preparing in case China attacks. See how,205000.0,11520
New report says Justice Alito failed to disclose trip with billionaire,78000.0,11520
Ukrainian pilots plead for F-16s as they struggle to contain Russian air power,123000.0,12960
Reporter behind viral report about Titan submersible reveals more about his experience,266000.0,12960
Maggie Haberman shares two reasons why Trump has trouble keeping lawyers,676000.0,12960
Russia launched ‘another massive air attack’ at Ukraine,221000.0,12960
Trump offers new reason for not giving classified material to investigators,221000.0,14400
Hear what Blinken and Xi had to say about US-China relations,68000.0,14400
Hundreds of bodies found in forest linked to starvation cult,62000.0,15840
US and China take a potentially crucial step,175000.0,15840
Christie on Trump: Worst manager in the history of the American presidency,594000.0,17280
He was prosecuted by Special Counsel Jack Smith. Hear what he knows,380000.0,17280
Why John Dean calls this move from Jack Smith a ‘standard procedure’ with Trump,189000.0,18720
Video exposes rape allegedly carried out by Wagner-backed militia in Sudan,336000.0,18720
Merrick Garland: Minneapolis PD violated Constitution,50000.0,2880
Obama responds to Sen. Tim Scott's comments about race in America,453000.0,2880
‘The minutia matters’: How Trump may be able to drag out his trial date,93000.0,2880
Hear top US general's evaluation of Russia's military leadership,672000.0,2880
Gratuitous Gratuity? The Truth About Tipping,13000.0,2880
Legal expert predicts Trump's possible sentence if convicted for mishandling classified documents,410000.0,2880
Video shows Ukrainian soldiers firing at holed up Russian fighters,927000.0,2880
Watergate lawyer and journalist break down Trump indictment,234000.0,2880
Hear John Bolton's advice to special counsel Jack Smith about how to approach Trump's trial,317000.0,2880
NATO Secretary General: Sweden has delivered on their commitments,175000.0,2880
Exclusive video shows Trump at his hotel ahead of arraignment,127000.0,2880
"The biggest security threats at Trump's court appearance, according to former DHS head",134000.0,2880
'Ridiculous': Attorney slams Lindsey Graham's argument about Trump's indictment,754000.0,2880
Bolton makes prediction on Trump's political career after indictment,1700000.0,2880
Aerial footage shows collapsed section of I-95 in Philadelphia,96000.0,2880
"Why Trump's comparison to Biden's 1,850 boxes is a false equivalency",105000.0,2880
Chris Christie reacts to Trump federal indictment,913000.0,2880
See Special Counsel Jack Smith's statement on Trump indictment,567000.0,2880
Trump aide indicted in classified documents case,160000.0,4320
Attorney calls Trump's Espionage Act charge 'ludicrous',167000.0,4320
Ukraine claims new progress in key advance against Russia,544000.0,4320
Bipartisan group urges White House to give Ukraine F-16 jets,69000.0,4320
Ex-White House official: Trump knew proper declassification process,152000.0,4320
Inaugural poet Amanda Gorman felt 'shock and grief' after Florida school restricted her book,19000.0,4320
New Trump ad claims he's being attacked by 'rabid wolves' ahead of possible indictment,143000.0,4320
Ex-Trump attorney explains why he's not concerned with Meadows testimony,68000.0,4320
"DNA led to arrest of Boston serial rapist suspect, prosecutor says",89000.0,4320
Why Ukrainian official believes Russia is responsible for dam collapse,241000.0,4320
At least 42 people dead in Haiti flooding,37000.0,4320
PGA Tour announces shock merger with Saudi-backed LIV Golf,25000.0,4320
Hear Chinese citizens' opinions of the US as tensions grow,168000.0,4320
Tim Scott pushes back on criticism during appearance on 'The View',121000.0,4320
"See Apple's new $3,499 mixed reality headset",31000.0,4320
"Ukraine has ‘advanced’ in the east, deputy defense minister says",779000.0,4320
Here's why Haley thinks DeSantis is going after Disney,83000.0,4320
Nikki Haley breaks with Donald Trump on Putin and Ukraine,345000.0,4320
'We failed': GOP lawmaker criticizes McCarthy over debt deal,200000.0,4320
Smerconish spoofs DeSantis' name pronunciation change,91000.0,4320
George Conway: Missing Trump document ‘another smoking gun’,482000.0,4320
Trump's lawyers can't find this key classified document,94000.0,4320
‘Pattern emerging’: Russians in border regions report new attacks,531000.0,5760
Senate passes debt limit deal to avert default,31000.0,5760
Failed GOP candidate indicted in alleged shooting spree targeting Democrats,55000.0,5760
Senate races to avert default but vote timing unclear,59000.0,5760
Three killed in Kyiv after finding bomb shelter locked,27000.0,5760
'Huge win for Kevin McCarthy': Former Trump adviser on debt deal,35000.0,5760
NASA reveals unidentified objects in public meeting,305000.0,5760
Neil deGrasse Tyson says this Chinese move is putting pressure on NASA,100000.0,1440
Surveillance footage shows moments before teen girl in India is killed in public,92000.0,1440
Devastating new details emerge in alleged Pittsburgh synagogue shooter’s trial,45000.0,1440
Striking shift in demographics could give Democrats advantage,78000.0,1440
Drone attack in Moscow leaves buildings damaged,185000.0,1440
‘She’s not herself’: Report says Feinstein relying heavily on staff since return to Senate,59000.0,1440
See moment Ukrainian forces down a Russian Shahed drone,155000.0,1440
Killer whales are sinking boats off the coast of Spain. Expert has theory why,154000.0,1440
'I cried': CNN reporter describes reaction to remake of 'The Little Mermaid',53000.0,1440
Oakland A's baseball announcer fired for use of N-word on air,93000.0,1440
See how Russian pranksters are tricking influential foreign leaders,60000.0,1440
Jessica Watkins: Oath Keepers member sentenced to 8.5 years in prison for Jan. 6,138000.0,1440
Legal expert reacts to new report about Trump's Mar-a-Lago documents,269000.0,1440
Hear why retired general believes cross border raids in Russia are effective,654000.0,1440
How ESPN could destroy the cable business,28000.0,1440
'It's a very bad look': Social media expert breaks down DeSantis tech issues,49000.0,1440
Refugee describes losing her son and brother while fleeing,11000.0,1440
Gov. Ron DeSantis’ campaign launch on Twitter goes sideways due to tech issues,124000.0,1440
Ukrainian forces embrace unconventional tactics,753000.0,1440
'Anticipate the worst': Officials issue dire warning ahead of Typhoon,68000.0,1440
This animal went extinct in India over 60 years ago. Now they might be back,25000.0,1440
Senior Russian official mysteriously dies after falling ill on plane,101000.0,1440
Special counsel obtains Trump lawyer’s ‘overly detailed’ notes,167000.0,1440
Video purportedly shows anti-Putin Russians groups fighting in Russia,324000.0,1440
Amanpour: Dissent about war in Ukraine in Putin's circle is 'silenced',359000.0,1440
E. Jean Carroll asks judge to amend lawsuit to seek further damages against Trump,225000.0,1440
‘Putin is not winning this engagement’: Retired general on Bakhmut battle,195000.0,1440
GOP Sen: Trump can't win 2024 general election,130000.0,1440
Ex-Trump attorney explains why he left Trump's legal team,449000.0,1440
Parkland victim’s mother pens children’s book ‘Joaquin’s First School Shooting.’ Hear why,30000.0,1440
A look into Feinstein’s firm decision to remain in Senate,50000.0,1440
"US to support F-16 training effort for Ukrainians, Biden tells G7 allies",175000.0,1440
Erdogan hails ‘special relationship’ with Putin ahead of crucial Turkey runoff vote,266000.0,1440
US signals it won’t block export of F-16 jets to Ukraine from allies,309000.0,1440
Hear from a voter who backed Sen. Feinstein for decades,30000.0,1440
Clues suggest children survived Colombian jungle plane crash as officials race to find them,343000.0,1440
How bad can it get for Elon Musk's Twitter?,36000.0,1440
George Santos gets heckled by Congressman on Capitol steps,162000.0,1440
Andy Cohen reacts to his infamous New Year’s Eve rant,15000.0,1440
See how Russian media is covering damage to Patriot system in Ukraine,917000.0,1440
Republican lawmaker explains ‘grave concerns’ over abortion ban bill,32000.0,1440
Retired general on why Bakhmut could be a symbolic defeat for Russia,432000.0,1440
Musk: 'I'll say what I want to say' even if it means losing money,41000.0,1440
See Elon Musk’s baseless claims about George Soros,82000.0,1440
Wagner chief Prigozhin claims US citizen died fighting in Bakhmut,137000.0,1440
Video shows bat-wielding man chasing woman before allegedly attacking lawmaker's staffers,52000.0,1440
Florida scientist breaks record for time spent living underwater,35000.0,1440
Watch new CIA video aimed at recruiting Russians to spy for the US,403000.0,1440
Special counsel John Durham's report on Trump-Russia probe released,188000.0,1440
Russia may have lost 4 aircraft within its own territory in a day,740000.0,1440
Russia faces setbacks as Zelensky rallies Ukraine's allies,173000.0,1440
Does Clearing Homeless Camps Just Extend the Crisis?,22000.0,1440
Inside the nuclear fusion lab trying to replicate the Sun on Earth,52000.0,1440
New accusations that South Africa is helping Russia in its war on Ukraine,191000.0,1440
GoPro captures tense firefight during battle near Bakhmut,238000.0,1440
Was this man really Meghan Markle in disguise at the coronation?,110000.0,1440
Anderson Cooper addresses criticism about Trump town hall,758000.0,1440
See what's it's like for migrants on the 'train of death',96000.0,1440
Ukraine receives long-range Storm Shadow cruise missiles from the UK,176000.0,1440
Title 42 expires tonight. Here’s what happens next,30000.0,1440
'Outrageous': Legal analyst responds to Trump's comments on E. Jean Carroll trial,231000.0,1440
Trump was asked if he owes Pence an apology for Jan. 6. Hear his response,863000.0,1440
‘Hugely important’: Retired general on drone attacks in Russian border regions,836000.0,1440
George Santos in federal custody as feds unseal 13-count indictment,1000000.0,1440
Former Russian lawmaker laughs at ‘outdated’ Victory Day parade tank,201000.0,1440
Trump's attorney speaks after jury finds Trump liable for sexual abuse and defamation,339000.0,1440
Liz Cheney takes aim at Trump campaign with new ad,99000.0,1440
Putin gave a defiant Victory Day speech. Here is the striking difference from previous years,207000.0,1440
Former special counsel looks at closing arguments in Trump trial,223000.0,1440
Iran expert: Nuclear program 'advancing at the speed of light',71000.0,1440
Russia turns to 80-year-old tanks to replenish forces,580000.0,1440
Retired colonel says Wagner leader's move may come at great cost,812000.0,1440
Inside the Beginning of a Border Surge,15000.0,1440
What Wagner leader’s message may tell us about Putin and Russia,1500000.0,1440
Hear head of Wagner Group scream at Putin's defense minister,230000.0,1440
Russian and Ukrainian delegates come to blows at summit in Turkey,262000.0,1440
Report: GOP activist arranged hidden payments to Ginni Thomas,162000.0,1440
Ex-Russian lawmaker believes this is who carried out drone attack on Kremlin,670000.0,1440
Sheeran went to court for alleged copyright infringement of 'Let's Get it On'. Listen to them here,41000.0,1440
Hear what led to a new round of subpoenas for Trump Org. employees,369000.0,1440
White House official reacts to Russia claiming US involved in alleged drone attack,175000.0,1440
Sen. Manchin says ‘we’re not going to default’ on US debt,57000.0,1440
Political groups turn to AI for campaigns,19000.0,1440
See the text that may have gotten Tucker Carlson fired,686000.0,1440
'Tucker sets the tone': Fired Fox News producer describes atmosphere at company,292000.0,1440
'Godfather of AI' warns that AI may figure out how to kill people,459000.0,1440
CNN reporter unpacks the 3 main sources of the royal family's money,30000.0,1440
Inside the urgent manhunt for Texas shooting suspect,107000.0,1440
Video captures Russian attack inside Ukrainian trenches,662000.0,1440
Never-before-seen images of Chinese military blimp explained by reporter,191000.0,1440
Massive manhunt underway for gunman accused of killing 5 neighbors,219000.0,1440
"Bernie Sanders: If Biden does this, he'll 'win in a landslide'",707000.0,1440
Watch Roy Wood Jr. skewer Tucker Carlson's Fox News departure,807000.0,2880
Robert F. Kennedy Jr. explains why he is running for president,456000.0,2880
Wagner leader issues ominous warning about his troops in Ukraine,1200000.0,2880
‘Why did we fail?’: Conservative commentator and union rep clash over Covid-19 school closures,63000.0,2880
"When a conservative podcaster came to campus, students did not want to listen",151000.0,2880
McCarthy weighs in on DeSantis’ feud with Disney,246000.0,2880
Hear son’s desperate plea to get parents out of Sudan,12000.0,2880
Nikki Haley: Biden 'likely' won't make it to end of second term,59000.0,2880
"Russia emptied out Crimea base, satellite imagery shows",897000.0,2880
"What the ""battlefield math"" reveals about Russian forces in Ukraine",544000.0,2880
Hear what Kim Kardashian says changed about Trump,89000.0,2880
Hear what Dr. Fauci says hampered US response to Covid-19 pandemic,96000.0,2880
See how Russian media depicts former Fox host Tucker Carlson,441000.0,2880
Here’s what happened on the first day of the rape allegation civil trial against Trump,809000.0,2880
See how Biden announced he's running for president again,72000.0,2880
Hear the basic tactics these men use to knock on doors safely in White neighborhoods,52000.0,2880
See how Fox announced Tucker Carlson's departure on air,843000.0,2880
GOP lawmaker explains why she's not ready to vote for McCarthy's debt limit bill,114000.0,2880
Why Tennessee lawmaker brought an infant-sized coffin to state capitol,130000.0,2880
Shot Over a Simple Mistake,12000.0,2880
CNN anchors tour Nazi death camp where their relatives died,230000.0,2880
Inside the wait for the Ukrainian counteroffensive against Russia,480000.0,2880
See ret. colonel's reaction to Russian jet dropping an explosive on a Russian city,879000.0,2880
'Be a real man': New Russian ad appears to mock men into joining Putin's military,153000.0,2880
CNN takes over 14-year-old’s TikTok account. See what we came across on ‘Restricted Mode’,78000.0,2880
Alec Baldwin’s attorney says ‘Rust’ shooting prosecutors to dismiss manslaughter charges,123000.0,2880
SpaceX Starship explodes on first launch attempt,298000.0,2880
See moment CNN team narrowly escapes missile strike in Ukraine,169000.0,2880
Wife of Kremlin critic speaks out after husband’s 25-year jail sentence,20000.0,2880
Report: World will have a new most populous country soon,151000.0,2880
CNN anchor worked at Fox for 16 years. Hear why she thinks Fox got out of Dominion lawsuit easy,1000000.0,2880
Can Ukraine retake land from Russia? Hear NATO chief's prediction,709000.0,2880
